State,County,Cnt
Alabama,Autauga,12
Alabama,Baldwin,31
Alabama,Barbour,9
Alabama,Bibb,4
Alabama,Blount,9
Alabama,Bullock,3
Alabama,Butler,9
Alabama,Calhoun,31
Alabama,Chambers,9
Alabama,Cherokee,6
Alabama,Chilton,9
Alabama,Choctaw,4
Alabama,Clarke,9
Alabama,Clay,4
Alabama,Cleburne,4
Alabama,Coffee,14
Alabama,Colbert,14
Alabama,Conecuh,5
Alabama,Coosa,3
Alabama,Covington,14
Alabama,Crenshaw,6
Alabama,Cullman,18
Alabama,Dale,14
Alabama,Dallas,15
Alabama,DeKalb,14
Alabama,Elmore,15
Alabama,Escambia,9
Alabama,Etowah,30
Alabama,Fayette,5
Alabama,Franklin,9
Alabama,Geneva,6
Alabama,Greene,3
Alabama,Hale,6
Alabama,Henry,6
Alabama,Houston,22
Alabama,Jackson,11
Alabama,Jefferson,163
Alabama,Lamar,3
Alabama,Lauderdale,22
Alabama,Lawrence,9
Alabama,Lee,27
Alabama,Limestone,16
Alabama,Lowndes,4
Alabama,Macon,12
Alabama,Madison,73
Alabama,Marengo,6
Alabama,Marion,8
Alabama,Marshall,18
Alabama,Mobile,114
Alabama,Monroe,7
Alabama,Montgomery,65
Alabama,Morgan,27
Alabama,Perry,3
Alabama,Pickens,5
Alabama,Pike,8
Alabama,Randolph,6
Alabama,Russell,13
Alabama,Shelby,48
Alabama,"St. Clair",13
Alabama,Sumter,4
Alabama,Talladega,22
Alabama,Tallapoosa,10
Alabama,Tuscaloosa,47
Alabama,Walker,18
Alabama,Washington,5
Alabama,Wilcox,4
Alabama,Winston,7
Alaska,"Aleutians East",1
Alaska,"Aleutians West",2
Alaska,Anchorage,55
Alaska,Bethel,3
Alaska,"Bristol Bay",1
Alaska,Denali,1
Alaska,Dillingham,2
Alaska,"Fairbanks North Star",19
Alaska,Haines,1
Alaska,Hoonah-Angoon,2
Alaska,Juneau,6
Alaska,"Kenai Peninsula",13
Alaska,"Ketchikan Gateway",4
Alaska,"Kodiak Island",5
Alaska,"Lake and Peninsula",1
Alaska,Matanuska-Susitna,24
Alaska,Nome,2
Alaska,"North Slope",3
Alaska,"Northwest Arctic",2
Alaska,"Petersburg Borough",1
Alaska,"Prince of Wales-Hyder",4
Alaska,Sitka,2
Alaska,"Skagway Municipality",1
Alaska,"Southeast Fairbanks",2
Alaska,Valdez-Cordova,3
Alaska,"Wade Hampton",1
Alaska,"Wrangell City and Borough",1
Alaska,Yakutat,1
Alaska,Yukon-Koyukuk,4
Arizona,Apache,16
Arizona,Cochise,32
Arizona,Coconino,28
Arizona,Gila,16
Arizona,Graham,9
Arizona,Greenlee,3
Arizona,"La Paz",9
Arizona,Maricopa,916
Arizona,Mohave,43
Arizona,Navajo,31
Arizona,Pima,241
Arizona,Pinal,75
Arizona,"Santa Cruz",10
Arizona,Yavapai,42
Arizona,Yuma,55
Arkansas,Arkansas,8
Arkansas,Ashley,7
Arkansas,Baxter,9
Arkansas,Benton,49
Arkansas,Boone,7
Arkansas,Bradley,5
Arkansas,Calhoun,2
Arkansas,Carroll,5
Arkansas,Chicot,4
Arkansas,Clark,5
Arkansas,Clay,6
Arkansas,Cleburne,7
Arkansas,Cleveland,2
Arkansas,Columbia,5
Arkansas,Conway,6
Arkansas,Craighead,17
Arkansas,Crawford,11
Arkansas,Crittenden,20
Arkansas,Cross,6
Arkansas,Dallas,3
Arkansas,Desha,5
Arkansas,Drew,5
Arkansas,Faulkner,25
Arkansas,Franklin,3
Arkansas,Fulton,2
Arkansas,Garland,20
Arkansas,Grant,4
Arkansas,Greene,9
Arkansas,Hempstead,5
Arkansas,"Hot Spring",7
Arkansas,Howard,3
Arkansas,Independence,8
Arkansas,Izard,4
Arkansas,Jackson,5
Arkansas,Jefferson,24
Arkansas,Johnson,6
Arkansas,Lafayette,2
Arkansas,Lawrence,6
Arkansas,Lee,4
Arkansas,Lincoln,4
Arkansas,"Little River",4
Arkansas,Logan,6
Arkansas,Lonoke,16
Arkansas,Madison,4
Arkansas,Marion,4
Arkansas,Miller,12
Arkansas,Mississippi,12
Arkansas,Monroe,3
Arkansas,Montgomery,3
Arkansas,Nevada,3
Arkansas,Newton,2
Arkansas,Ouachita,6
Arkansas,Perry,3
Arkansas,Phillips,6
Arkansas,Pike,3
Arkansas,Poinsett,7
Arkansas,Polk,6
Arkansas,Pope,11
Arkansas,Prairie,3
