State,County,disfood
Alabama,Autauga,3
Alabama,Baldwin,5
Alabama,Barbour,1
Alabama,Bibb,3
Alabama,Blount,3
Alabama,Bullock,1
Alabama,Butler,1
Alabama,Calhoun,4
Alabama,Chambers,4
Alabama,Cherokee,3
Alabama,Chilton,4
Alabama,Choctaw,1
Alabama,Clarke,1
Alabama,Clay,4
Alabama,Cleburne,3
Alabama,Coffee,3
Alabama,Colbert,4
Alabama,Conecuh,1
Alabama,Coosa,4
Alabama,Covington,4
Alabama,Crenshaw,4
Alabama,Cullman,3
Alabama,Dale,4
Alabama,Dallas,1
Alabama,DeKalb,3
Alabama,Elmore,3
Alabama,Escambia,4
Alabama,Etowah,4
Alabama,Fayette,4
Alabama,Franklin,4
Alabama,Geneva,4
Alabama,Greene,1
Alabama,Hale,1
Alabama,Henry,4
Alabama,Houston,4
Alabama,Jackson,3
Alabama,Jefferson,4
Alabama,Lamar,4
Alabama,Lauderdale,3
Alabama,Lawrence,4
Alabama,Lee,5
Alabama,Limestone,3
Alabama,Lowndes,1
Alabama,Macon,1
Alabama,Madison,3
Alabama,Marengo,1
Alabama,Marion,4
Alabama,Marshall,3
Alabama,Mobile,4
Alabama,Monroe,1
Alabama,Montgomery,1
Alabama,Morgan,3
Alabama,Perry,1
Alabama,Pickens,1
Alabama,Pike,1
Alabama,Randolph,4
Alabama,Russell,4
Alabama,Shelby,0
Alabama,St. Clair,3
Alabama,Sumter,1
Alabama,Talladega,4
Alabama,Tallapoosa,4
Alabama,Tuscaloosa,4
Alabama,Walker,4
Alabama,Washington,4
Alabama,Wilcox,1
Alabama,Winston,4
Alaska,Aleutians East,0
Alaska,Aleutians West,0
Alaska,Anchorage,2
Alaska,Bethel,5
Alaska,Bristol Bay,5
Alaska,Denali,2
Alaska,Dillingham,5
Alaska,Fairbanks North Star,0
Alaska,Haines,5
Alaska,Juneau,2
Alaska,Kenai Peninsula,2
Alaska,Ketchikan Gateway,5
Alaska,Kodiak Island,0
Alaska,Lake and Peninsula,5
Alaska,Matanuska-Susitna,0
Alaska,Nome,5
Alaska,North Slope,0
Alaska,Northwest Arctic,5
Alaska,Petersburg Borough,0
Alaska,Prince of Wales-Hyder,5
Alaska,Sitka,0
Alaska,Skagway Municipality,5
Alaska,Southeast Fairbanks,5
Alaska,Valdez-Cordova,0
Alaska,Wade Hampton,5
Alaska,Wrangell City and Borough,5
Alaska,Yakutat,5
Alaska,Yukon-Koyukuk,5
Arizona,Apache,1
Arizona,Cochise,5
Arizona,Coconino,2
Arizona,Gila,5
Arizona,Graham,3
Arizona,Greenlee,3
Arizona,La Paz,4
Arizona,Maricopa,2
Arizona,Mohave,5
