State,County,org,nodiz_lab,diz_lab
Alabama,Autauga,0,0,0
Alabama,Baldwin,0,0,0
Alabama,Barbour,2,1,1
Alabama,Bibb,1,1,1
Alabama,Blount,0,0,0
Alabama,Bullock,2,2,2
Alabama,Butler,2,0,1
Alabama,Calhoun,1,1,1
Alabama,Chambers,2,1,1
Alabama,Cherokee,0,0,0
Alabama,Chilton,0,0,0
Alabama,Choctaw,2,2,2
Alabama,Clarke,3,3,1
Alabama,Clay,1,1,1
Alabama,Cleburne,0,0,0
Alabama,Coffee,1,0,1
Alabama,Colbert,1,0,1
Alabama,Conecuh,2,2,2
Alabama,Coosa,1,1,1
Alabama,Covington,1,1,1
Alabama,Crenshaw,1,1,1
Alabama,Cullman,0,0,0
Alabama,Dale,1,0,1
Alabama,Dallas,4,4,4
Alabama,DeKalb,0,0,0
Alabama,Elmore,0,0,0
Alabama,Escambia,2,1,1
Alabama,Etowah,1,1,1
Alabama,Fayette,1,1,1
Alabama,Franklin,0,1,1
Alabama,Geneva,1,0,0
Alabama,Greene,4,4,4
Alabama,Hale,2,2,2
Alabama,Henry,1,0,0
Alabama,Houston,1,1,1
Alabama,Jackson,0,0,0
Alabama,Jefferson,1,0,1
Alabama,Lamar,1,1,1
Alabama,Lauderdale,1,1,1
Alabama,Lawrence,1,0,0
Alabama,Lee,1,1,1
Alabama,Limestone,0,0,0
Alabama,Lowndes,3,3,3
Alabama,Macon,3,3,3
Alabama,Madison,1,0,0
Alabama,Marengo,2,2,2
Alabama,Marion,1,0,0
Alabama,Marshall,0,1,1
Alabama,Mobile,1,1,1
Alabama,Monroe,3,3,3
Alabama,Montgomery,2,1,1
Alabama,Morgan,0,0,1
Alabama,Perry,3,3,3
Alabama,Pickens,2,1,1
Alabama,Pike,2,2,2
Alabama,Randolph,1,1,1
Alabama,Russell,2,2,2
Alabama,Shelby,0,0,0
Alabama,St. Clair,0,0,0
Alabama,Sumter,4,4,4
Alabama,Talladega,1,1,1
Alabama,Tallapoosa,1,0,1
Alabama,Tuscaloosa,1,1,1
Alabama,Walker,1,1,1
Alabama,Washington,1,0,0
Alabama,Wilcox,4,4,4
Alabama,Winston,1,1,1
Alaska,Aleutians East,0,0,0
Alaska,Aleutians West,0,0,0
Alaska,Anchorage,0,0,0
Alaska,Bethel,2,2,2
Alaska,Bristol Bay,0,0,0
Alaska,Denali,0,0,0
Alaska,Dillingham,1,1,1
Alaska,Fairbanks North Star,0,0,0
Alaska,Haines,0,0,0
Alaska,Juneau,0,0,0
Alaska,Kenai Peninsula,0,0,0
Alaska,Ketchikan Gateway,0,0,0
Alaska,Kodiak Island,0,0,0
Alaska,Lake and Peninsula,1,1,1
Alaska,Matanuska-Susitna,0,0,0
Alaska,Nome,2,2,2
Alaska,North Slope,0,0,0
Alaska,Northwest Arctic,2,2,2
Alaska,Petersburg Borough,0,0,0
Alaska,Prince of Wales-Hyder,1,1,1
Alaska,Sitka,0,0,0
Alaska,Skagway Municipality,1,1,1
Alaska,Southeast Fairbanks,1,1,1
Alaska,Valdez-Cordova,0,0,0
Alaska,Wade Hampton,3,3,3
Alaska,Wrangell City and Borough,1,1,1
