Name,Address,City_State_Zip,Phone_Number,Web_Address
"Food Bank of Alaska, Inc.",2121 Spar Avenue,"Anchorage, AK 99501",907.272.3663,www.foodbankofalaska.org
"Fairbanks Community Food Bank Service, Inc.",725 26th Ave.,"Fairbanks , AK 99701",907.452.7761,http://www.fairbanksfoodbank.org
Kenai Peninsula Food Bank,33955 Community College Dr,"Soldotna, AK 99611",907.262.3111,http://kpfoodbank.org
Southeast Alaska Food Bank,10020 Crazy Horse Drive,"Juneau, AK 99801",907.789.6184,http://www.seakfoodbank.org
Kodiak Baptist Mission ,1944 Rezanoff Dr. East ,"Kodiak , AK 99615",907.486.4126,http://www.kodiakbaptistmission.org 
Community Food Bank of Central Alabama,107 Walter Davis Drive,"Birmingham, AL 35209",205.942.8911,www.feedingal.org
Food Bank of North Alabama,2000 B. Vernon Ave. P.O. Box 18607,"Huntsville, AL 35805",256.539.2256,www.foodbanknorthal.org/
"Montgomery Area Food Bank, Inc.",521 Trade Center Street,"Montgomery, AL 36108",334.263.3784,www.montgomeryareafoodbank.org
West Alabama Food Bank,"PO Box 805, 3160 McFarland Blvd","Northport, AL 35476",205.333.5353,http://www.westalabamafoodbank.org/
Selma Area Food Bank,497 Oak St.,"Selma, AL 36701",334.872.4111,http://www.selmafoodbank.com/
Food Bank of East Alabama ,375 Industry Drive ,"Auburn , AL 36832",334.821.9006,http://www.foodbankofeastalabama.com
"Wiregrass Area Food Bank, Inc.",382 Twitchell Road,"Dothan, AL 36303",334.794.9775,http://www.wiregrassfoodbank.com/
Feeding the Gulf Coast,5248 Mobile South Street,"Theodore, AL 36582",251.653.1617,www.feedingthegulfcoast.org
Northwest Arkansas Food Bank,1378 June Self Drive,"Bethel Heights, AR 72764",479.872.8774,www.NWAfoodbank.org
River Valley Regional Food Bank,1617 South Zero Street PO Box 180070,"Ft. Smith, AR 72918",479.785.0582,www.rvrfoodbank.org/
Food Bank of Northeast Arkansas,3414 One Place P.O. Box 2097,"Jonesboro, AR 72402",870.932.3663,www.foodbankofnea.org
Food Bank of North Central Arkansas,P.O. Box 128,"Norfork, AR 72658",870.499.7565,No site
Arkansas Foodbank,4301 W 65th St,"Little Rock, AR 72209",501.565.8121,www.arkansasfoodbank.org/
"Harvest Regional Food Bank, Inc.",3120 East 19th Street P.O. Box 707,"Texarkana, AR 71854",870.774.1398,www.harvestregionalfoodbank.org
United Food Bank,245 South Nina Drive,"Mesa, AZ 85210",480.926.4897,www.unitedfoodbank.org
St. Mary's Food Bank Alliance,2831 N. 31st Avenue,"Phoenix, AZ 85009",602.242.3663,www.firstfoodbank.org
"Bread of Life Missions, Inc., ",1575 Sullivan Lane PO Box 2991,"Camp Verde, AZ 86322",928.567.6931,No Site
Community Food Bank of Southern Arizona,3003 South Country Club Road PO Box 26727,"Tucson, AZ 85726",520.622.0525,www.communityfoodbank.org
Yuma Community Food Bank,2404 E 24th St. Ste. A,"Yuma, AZ 85365",928.343.1243,www.yumafoodbank.org
Imperial Valley Food Bank ,329 Applestill Road,"El Centro , CA 92243",760.370.0966,http://ivfoodbank.org
Food Bank of Contra Costa and Solano,4010 Nelson Ave PO Box 6324,"Concord, CA 94520",925.676.7543,www.foodbankccs.org
Community Action of Napa Valley Food Bank ,"2310 Laurel Street, Suite 1 ","Napa , CA 94559",707.253.6128,http://www.canv.org
Shasta Senior Nutrition Program ,100 Mercy Oaks Drive ,"Redding , CA 96003",530.226.3071,http://www.ssnpweb.org/
Yuba Sutter Gleaners Food Bank,460 A Street,"Yuba City, CA 95991",530.673.3834,http://www.ysgleaners.org
Yolo Food Bank,1244 Fortna Avenue,"Woodland, CA 95776",530.668.0690,http://www.yolofoodbank.org
Butte County Community Action Agency ,2255 Del Oro Avenue ,"Oroville , CA 95965",530.538.7559,http://buttecaa.com
Sacramento Food Bank & Family Services,1951 Bell Ave.,"Sacramento, CA 95838",916.925.3240,http://www.sacramentofoodbank.org/
Community Food Bank,3403 E. Central Ave,"Fresno, CA 93725",559.237.3663,www.communityfoodbank.net
Kern County Food Bank,P.O. Box 134,"Bakersfield, CA 93302",661.398.4520,http://www.capk.org
FIND Food Bank,83-775 Citrus Ave P.O. Box 10080,"Indio, CA 92202",760.775.3663,www.FINDfoodbank.org
Second Harvest Food Bank of Orange County,8014 Marine Way,"Irvine, CA 92618",949.653.2900,www.FeedOC.org
Los Angeles Regional Food Bank,1734 E. 41st Street,"Los Angeles, CA 90058",323.234.3030,www.lafoodbank.org
Second Harvest Food Bank of San Joaquin and Stanislaus Counties,704 E. Industrial Park Drive,"Manteca, CA 95337",209.239.2091,www.localfoodbank.org
Amador Tuolumne Community Action Agency(ATCAS),427 North Highway 49 #103 ,"Sonora , CA 95370",209.984.3960,http://www.atcaa.org
The Resource Connection Food Bank,"206 George Reed Drive, PO Box 919","San Andreas, CA 95249",209.754.1257,http://www.trcac.org
Alameda County Community Food Bank,7900 Edgewater Drive P.O. Box 2599,"Oakland, CA 94621",510.635.3663,www.accfb.org
"Food Share, Inc.",4156 Southbank Road,"Oxnard, CA 93036",805.983.7100,www.foodshare.com
Feeding America Riverside San Bernardino Counties,2950 - B Jefferson Street,"Riverside, CA 92504",951.359.4757,feedingamericaie.org/
Placer Food Bank,8284 Industrial Ave,"Roseville, CA 95678",916.783.0481,www.placerfoodbank.org
Food Bank for Monterey County,"815 W. Market Street, Suite 5","Salinas, CA 93901",831.758.1523,www.food4hungry.org
Feeding San Diego,"9455 Waples Street, Suite 135","San Diego, CA 92121",858.452.3663,www.feedingsandiego.org
SF-Marin Food Banks,900 Pennsylvania Avenue,"San Francisco, CA 94107",415.282.1900,www.sfmfoodbank.org
Second Harvest Food Bank of Santa Clara & San Mateo Counties,750 Curtner Avenue,"San Jose, CA 95125",408.266.8866,www.SHFB.org
Foodbank of Santa Barbara County,4554 Hollister Avenue,"Santa Barbara, CA 93110",805.967.5741,www.foodbanksbc.org
Food Bank Coalition of San Luis Obispo County ,P.O. Box 2070 ,"Paso Robles , CA 93447",805.238.4664,http://www.slofoodbank.org
Redwood Empire Food Bank,3990 Brickway Blvd,"Santa Rosa, CA 95403",707.523.7900,www.refb.org
Mendocino Food & Nutrition Program ,P.O. Box 70 ,"Ft. Bragg , CA 95437",707.964.9404,No Site
Food For People ,307 West 14th Street ,"Eureka , CA 95501",707.445.3166,http://www.foodforpeople.org/
Second Harvest Food Bank Santa Cruz County,800 Ohlone Parkway,"Watsonville, CA 95076",831.722.7110,www.thefoodbank.org
Community FB of San Benito Co. ,1133 San Felipe Road ,"Hollister , CA 95023",831.637.0340,http://www.communitypantry.com/Home.asp
Care and Share Food Bank,2605 Preamble Point,"Colorado Springs, CO 80915",719.528.1247,www.careandshare.org
Food Bank of the Rockies,10700 E. 45th Ave,"Denver, CO 80239",303.371.9250,www.foodbankrockies.org
Wyoming Food Bank of the Rockies,4976 Paige Street,"Mills, WY 82644",307.265.2172,No Site
Food Bank for Larimer County,1301 Blue Spruce,"Ft. Collins, CO 80524",970.493.4477,www.foodbanklarimer.org
Weld Food Bank,1108 H Street,"Greeley, CO 80631",970.356.2199,www.weldfoodbank.org
Community Food Share,650 S. Taylor Ave.,"Louisville, CO 80027",303.652.3663,www.communityfoodshare.org
Foodshare,450 Woodland Avenue,"Bloomfield, CT 06002",860.286.9999,www.foodshare.org
Connecticut Food Bank,2 Research Parkway,"Wallingford, CT 06492",203.469.5000,www.ctfoodbank.org
Gemma E. Moran United Way/ Labor Food Center ,374 Broad Street ,"New London , CT 06320",860.464.7281,No Site
