,city,name,phone,state,streetAddress,zipcode
0,Albertville,Marshall County Christian Services - Got Food? South,256-878-3177,Alabama,125 Sand Mountain Drive ,35950
1,Albertville,The Christian Community Outreach,(256) 659-6802,Alabama,251 County Road 142,35950
2,Albertville,Crossroads Assembly of God,(256) 891-7710,Alabama,1111 Kilpatrick Rd.,35950
3,Albertville,Christ Episcopal Church,(256) 878-3243,Alabama,607 East Main Street,35950
4,Albertville,Rose Road Church Of God,(256) 891-7723,Alabama,804 Rose Road,35950
5,Albertville,Got Food? SOUTH ,2568783533,Alabama,125 Sand Mountain Drive,35950
6,Alabaster,Salvation Army Shelby County Corps,(205) 663-7105,Alabama,108 Plaza Circle,35007
7,Alabaster,Amazing Grace Worship Center,(205) 664-8484,Alabama,949 US 31,35007
8,Andalusia,St Vincent Depaul Society Christ The King Catholic Church,(334) 222-4858,Alabama,508 Sanford Road,36420
9,Adamsville,First Seventh Day Adventist Church of Adamsville,205-518-5382,Alabama,4205 Main St,35005
10,Alabaster,FBC Alabaster Food Ministry,205-663-3531,Alabama,903 3rd Ave NW,35007
11,Alabaster,Manna Charities,(205) 910-4098,Alabama,333 Smokey Rd,35007
12,Andalusia,St Vincent De Paul Society / Christ The King Catholic Churc,(334) 222-4858,Alabama,500 Sanford Road,36420
13,Andalusia,Crisis That Resolve Interactive Behavior Solutions,(334) 222-1935,Alabama,1209 East 3 Notch Street,36420
14,Andalusia,Food Pantry - Christian Service Center,(334) 222-3257,Alabama,403 South 3 Notch Street,36420
15,Andalusia,Christian Service Center,(334) 222-3840,Alabama,403 S. Three Notch Street,36420
16,Alabaster,Manna Charities Food Share,205-910-4098,Alabama,333 Smokey Rd,35007
17,Anniston,Community Enabler,(256) 237-6144,Alabama,1411 Gurnee Avenue,36201
18,Anniston,Calhoun Baptist Association - Baptist Service Center Northw,(256) 847-3525,Alabama,201 West Lenlock Lane,36206
19,Anniston,Salvation Army,(256) 236-5643,Alabama,420 Noble Street,36201
20,Anniston,All Saints Interfaith Center of Concern,(256) 236-7793,Alabama,1029 West 15th Street,36201
