name,city,phone,streetAddress,zipcode,latitude,longitude
Concerted Services - Bacon County Service Center,Alma,912-285-6083,502 W. 12th St Ste. 102A,31510,31.5416417,-82.4693073
Malachi's Storehouse ,Atlanta,(678) 687-5357,4755 North Peachtree Rd,30338,33.9340999,-84.2940684
Youth Reach Out Program,Atlanta,(404) 753-5253,900 Metropolitan Parkway SW,30310,33.7304024,-84.4077936
Southwest Ecumenical Emergency Assistance Center,Atlanta,(404) 756-1699,"1040 Ralph David Abernathy Blvd, SW",30310,33.7375112,-84.4216342
Shallowford Presbyterian Church,Atlanta,404-321-1844,2375 Shallowford Rd.,30345,33.8575335,-84.2813842
Hunter Hill Baptist Church,Atlanta,404-753-8185,"166 Edwards St., NW",30314,33.7597613,-84.4351319
Hosea Feed the Hungry,Atlanta,404-755-3353,"1035 Donnelly Ave, SW",30310,33.7300599,-84.4210895
Haitian Ministry Theophile Church In Christ,Atlanta,404-624-9432,930 Custer Ave,30316,33.7174444,-84.35779
Greater Piney Grove Baptist Church,Atlanta,404-377-0562,"1879 Glenwood Ave, SE",30316,33.7392471,-84.325614
First Mount Pleasant Baptist Church,Atlanta,404-627-4967,816 Maynard Terr.,30316,33.7314515,-84.3353392
First Presbyterian Church of Atlanta,Atlanta,404-228-7724,"1328 Peachtree St., NE",30309,33.7908816,-84.3881841
Feed the Hungry Foundation,Atlanta,770-980-1550 ex,"1440 Dutch Valley Pl, NE Ste 720",30324,33.7932804,-84.3685632
Clifton United Methodist Church,Atlanta,404-241-3388,"2918 Clifton Church Rd., SE",30316,33.7013421,-84.2999069
Central United Methodist Church,Atlanta,404-524-4263,"501 Mitchell St., SW",30314,33.7541244,-84.40383
CAMP - Christian Aid Mission Partnership,Austell,(770) 819-0662,"6289 Veterans Memorial Highway, Building 12-A",30168,33.7981944,-84.642068
Christian Aid Mission Partnership,Austell,770-819-0662,6289 Veterans Memorial Hwy. #12-A Bldg. 12,30168,33.7981944,-84.642068
Concerted Services - Appling County Service Center,Baxley,912-285-6083,57 Harvey St.,31513,31.7831578,-82.3556716
Calvary United Methodist Church,Atlanta,404-753-8151,"1471 Ralph D. Abernathy Blvd, SW",30310,33.7419333,-84.4356272
Butler Street CME,Atlanta,404-659-8745,23 Jesse Hill Dr. SE ,30303,33.7539492,-84.3811231
Bainbridge Soup Kitchen,Bainbridge,229-246-2857,205 Independent St.,39817,30.9076958,-84.5713927
Ben Hill United Methodist Church,Atlanta,(404) 344-0618,"2099 Fairburn Rd., SW",30331,33.6978611,-84.5103447
